adress,longitude,latitude,living_area,land_area,supplemental_area,patio,balcony,number_of_rooms,build_year,operating_cost,sold_price,living_to_land_ratio,area_per_room
"Ragvaldsträsk 338, Ragvaldsträsk, Skellefteå",64.61834,20.8385429,66.0,4170.0,0.0,0,0,3.0,1974,33863,1495000,0.015827338129496403,22.0
"Tennringen 50, None, Järfälla",59.4597778,17.80971,103.0,649.0,27.0,0,0,6.0,1958,19949,5200000,0.15870570107858242,17.166666666666668
"Sömmerskevägen 7, Hallsberg, Hallsbergs",59.055944018123,15.117798286997,105.0,1923.0,0.0,0,0,4.0,1929,46215,720000,0.054602184087363496,26.25
"Mattias väg 8, Ivetofta, Bromölla",56.09088,14.4686079,130.0,1176.0,25.0,0,0,4.0,2009,41802,2770000,0.11054421768707483,32.5
"Rådmansgatan 7, Norrmalm, Skövde",58.4003372,13.8600206,128.0,1242.0,117.0,0,0,5.0,1950,30388,3900000,0.10305958132045089,25.6
"Galvvägen 5, Arbrå, Bollnäs",61.46425350741776,16.378382394745223,101.0,1139.0,81.0,1,0,4.0,1955,31218,850000,0.08867427568042142,25.25
"Tolångavägen 11, Grimstofta, Sjöbo",55.62921125424986,13.722793846870356,95.0,1105.0,0.0,0,0,3.0,1909,51961,2400000,0.08597285067873303,31.666666666666668
"Kollanda 460, Älvängen, Ale",57.923273053189725,12.276468916433998,66.0,13563.0,90.0,0,0,5.0,1893,28257,3000000,0.004866180048661801,13.2
"Kärrarpsvägen 18, Kvidinge, Åstorps",56.13674047503281,13.033317035511532,138.0,1180.0,69.0,0,0,4.0,1923,47232,1795000,0.11694915254237288,34.5
"Remmarlöv 2401, Remmarlöv, Eslövs",55.839150785074246,13.244310727147894,145.0,1441.0,7.0,1,0,6.0,1900,67283,1900000,0.10062456627342123,24.166666666666668
"Stenevägen 36, Fylsta, Kumla",59.1243668,15.1267347,144.0,1091.0,55.0,0,0,6.0,1936,42429,2795000,0.13198900091659027,24.0
"Gamla Tågarpsvägen 895, Tjutebro, Ekeby, Bjuvs",55.9809532,12.9344378,98.0,1071.0,0.0,0,0,4.0,1909,30150,2250000,0.0915032679738562,24.5
"Rumbagatan 2, Sjöbo, Sjöbo",55.63411,13.72164,155.0,1106.0,0.0,0,0,7.0,2010,43501,3350000,0.14014466546112117,22.142857142857142
"Fornrörsvägen 12, Odensberg, Falköpings",58.15373,13.4352779,145.0,936.0,0.0,0,0,7.0,1975,22395,1350000,0.15491452991452992,20.714285714285715
"Tårpilsvägen 13, Lövstalöt, Uppsala",59.9574471,17.5807533,83.0,765.0,83.0,0,0,3.0,1962,61967,3500000,0.1084967320261438,27.666666666666668
"Solviksvägen 5, Vedevåg, Lindesbergs",59.52717,15.2976141,78.0,1353.0,78.0,0,0,3.0,1959,69012,1195000,0.057649667405764965,26.0
"Parkgatan 26B, Centrum, Ånge",62.5277557,15.6601143,143.0,2735.0,66.0,0,0,6.0,1935,44873,2100000,0.05228519195612431,23.833333333333332
"Ekströms väg 13, Vintrie, Malmö",55.55436,12.9651937,107.0,234.0,0.0,0,0,3.0,1909,46700,5200000,0.45726495726495725,35.666666666666664
"Krigarevägen 7, Årstad, Falkenbergs",56.9168649152,12.6735333143,97.0,1820.0,100.0,0,0,3.0,1960,27215,2000000,0.053296703296703295,32.333333333333336
"Skarpängsvägen 23, None, Kungsörs",59.4397904064,15.935998669,86.0,1980.0,6.0,0,0,3.0,1930,27558,1250000,0.043434343434343436,28.666666666666668
"Åkarvägen 7, Skebokvarn, Flens",59.06056975728101,16.705352280994457,192.0,1803.0,22.0,0,0,6.0,1977,41154,1375000,0.1064891846921797,32.0
"Rösvägen 8, Gäddeholm, Västerås",59.54916,16.6719112,165.0,829.0,0.0,0,0,5.0,2017,61808,7700000,0.19903498190591074,33.0
"Hallonvägen 33, Mariefred, Strängnäs",59.26580161808483,17.28240554551086,112.0,2782.0,14.0,1,0,4.0,1967,65795,3750000,0.040258806613946804,28.0
"Barnhemsvägen 38, Hässelby Norra Villastad, Stockholms",59.3861103045649,17.8052795744548,120.0,323.0,20.0,0,0,5.0,1974,42948,4440000,0.3715170278637771,24.0
"Västra Pilgatan 7, Vellinge, Vellinge",55.47283,13.0370474,83.0,310.0,14.0,0,0,3.0,1992,42899,3750000,0.267741935483871,27.666666666666668
"Lännavägen 49, Hörningsnäs, Huddinge",59.230648,17.99937,122.0,1184.0,133.0,0,0,9.0,1951,50850,7000000,0.10304054054054054,13.555555555555555
"Stockholmsvägen 167, Bålsta - Fånäs, Håbo",59.5536903435,17.5490937485,151.0,1539.0,75.0,0,0,7.0,1977,43621,5040000,0.09811565951916829,21.571428571428573
"Solbergsvägen 13, Nedre Svenneby, Torsby",60.1223920493,13.0217691815,147.0,894.0,0.0,1,0,5.0,2022,31700,2950000,0.1644295302013423,29.4
"Krassevägen 3, Kungsbacka, Kungsbacka",57.4813148384,12.1005799134,167.0,1320.0,77.0,0,0,7.0,1969,10899,5500000,0.12651515151515152,23.857142857142858
"Pråmgatan 7C, Älvsborg, Göteborgs",57.6778374,11.8780241,175.0,951.8,66.0,0,0,6.0,1985,66016,9800000,0.18386215591510824,29.166666666666668
"Norgegatan 3, Tyringe, Hässleholms",56.1646685372,13.5990891868,164.0,920.0,0.0,1,0,6.0,2006,48449,2500000,0.1782608695652174,27.333333333333332
"Eriksdalsvägen 15, Olsfors, Bollebygds",57.6908668927,12.6950958782,89.0,958.0,120.0,0,0,5.0,1965,44180,1800000,0.09290187891440502,17.8
"Sve-Johans Hålsjö 841, Hudiksvall, Hudiksvalls",61.8358905181,16.7632522877,92.0,5035.0,87.0,0,0,3.0,1890,37622,1610000,0.018272095332671302,30.666666666666668
"Berneby 8, Resö, Tanums",58.7999440933,11.1733851124,70.0,1070.0,2.0,0,0,4.0,1934,24996,3250000,0.06542056074766354,17.5
"Ståhls väg 10, Ytterharnäs, Gävle",60.6518628369,17.359570108,138.0,1110.0,24.0,0,0,5.0,1909,37014,2700000,0.12432432432432433,27.6
"Skorstensvägen 182, Lindsdal, Kalmar",56.7317735189,16.3018635346,155.0,612.0,0.0,0,0,6.0,1975,39102,2590000,0.25326797385620914,25.833333333333332
"Irsta kyrkby 7, Irsta, Västerås",59.59839,16.7031326,754.0,9513.0,170.0,0,0,8.0,2001,127971,14000000,0.07925996005466204,94.25
"Nyhemsvägen 27, Bräkne-hoby, Ronneby",56.2353656325,15.1140811282,90.0,1469.0,90.0,0,0,3.0,1964,27270,800000,0.06126616746085772,30.0
"Solhagavägen 109, Spånga - Nälsta, Stockholms",59.3714702998,17.8877961318,117.0,196.0,0.0,1,1,5.0,1969,38400,4275000,0.5969387755102041,23.4
"Kungsbrovägen 30B, Ljungsbro, Linköpings",58.503537623770086,15.515889791939088,158.0,1251.0,110.0,1,1,6.0,1939,36377,2550000,0.12629896083133493,26.333333333333332
"Kungsbäcksvägen 17, Villastaden, Gävle",60.67174119713001,17.130326044392053,256.0,1248.0,216.0,1,1,8.0,1916,69500,11700000,0.20512820512820512,32.0
"Torphagsvägen 38, Bankeryd, Jönköpings",57.84125550468982,14.13586069435081,165.0,591.0,7.0,0,0,6.0,2018,30112,5300000,0.27918781725888325,27.5
"Flisvägen 3, Born, Orsa",61.13512676236521,14.6375650775465,160.0,1603.0,80.0,0,0,6.0,1948,17350,1250000,0.09981285090455397,26.666666666666668
"Åströms väg 20, Hosjö, Falu",60.5920306255,15.7443707635,160.0,1262.0,0.0,0,0,5.0,1929,69918,2800000,0.12678288431061807,32.0
"Kimmersbo Söderväg 4, Lindome, Mölndals",57.55896877877849,12.005551332764252,143.0,1655.0,58.0,1,1,7.0,1975,23822,5800000,0.086404833836858,20.428571428571427
"Gulli Petrinis väg 9, Växjö, Växjö",56.8358456943928,14.805113647116476,190.0,989.0,0.0,1,0,6.0,2016,43472,5000000,0.19211324570273003,31.666666666666668
"Rösgatan 25, Centralt, Åmåls",59.05594520248117,12.695842658230427,127.0,773.0,56.0,1,0,6.0,1922,29432,1200000,0.16429495472186287,21.166666666666668
"Vetevägen 96, Hovsta, Örebro",59.34169059528256,15.234752658781757,125.0,302.0,0.0,1,0,5.0,1979,50650,2895000,0.4139072847682119,25.0
"Buskbovägen 25, Danholn, Falu",60.62229843214154,15.80408350629042,124.0,900.0,0.0,1,0,5.0,1991,48920,2925000,0.13777777777777778,24.8
